size,level_1,level_2
140,0.000004741,0.000307832
140,0.000004643,0.000288872
140,0.000004614,0.000288802
140,0.000004661,0.000288528
140,0.000004550,0.000289094
140,0.000004576,0.000290388
140,0.000004572,0.000289155
140,0.000004566,0.000289669
140,0.000004559,0.000289256
140,0.000004554,0.000288411
150,0.000004912,0.000339736
150,0.000004938,0.000331070
150,0.000005017,0.000332787
150,0.000004985,0.000335144
150,0.000004970,0.000331175
150,0.000004883,0.000331180
150,0.000004851,0.000330949
150,0.000004906,0.000331128
150,0.000004851,0.000330802
150,0.000004871,0.000330771
160,0.000005143,0.000382832
160,0.000005186,0.000376538
160,0.000005175,0.000377769
160,0.000005302,0.000376367
160,0.000005175,0.000383731
160,0.000007522,0.000389613
160,0.000005269,0.000376420
160,0.000005181,0.000376411
160,0.000005145,0.000375983
160,0.000005189,0.000376258
170,0.000005498,0.000434061
170,0.000005437,0.000425087
170,0.000005442,0.000424205
170,0.000005552,0.000424318
170,0.000005428,0.000428728
170,0.000005473,0.000424768
170,0.000005435,0.000424023
170,0.000005444,0.000424950
170,0.000005407,0.000424494
170,0.000005461,0.000424266
180,0.000005804,0.000484962
180,0.000005785,0.000476397
180,0.000005738,0.000475126
180,0.000005779,0.000484036
180,0.000005768,0.000475679
180,0.000005698,0.000475583
180,0.000005696,0.000475805
180,0.000005749,0.000475517
180,0.000005702,0.000475815
180,0.000005711,0.000475543
190,0.000006014,0.000657381
190,0.000006822,0.000547199
190,0.000006361,0.000529887
190,0.000006104,0.000530163
190,0.000006061,0.000530144
190,0.000006085,0.000529702
190,0.000005988,0.000529515
190,0.000006002,0.000529838
190,0.000005980,0.000533126
190,0.000006027,0.000529949
200,0.000006361,0.000597458
200,0.000006384,0.000587153
200,0.000006300,0.000586537
200,0.000006407,0.000586332
200,0.000006253,0.000586607
200,0.000006299,0.000608726
200,0.000006569,0.000587025
200,0.000006269,0.000586838
200,0.000006269,0.000587010
200,0.000006301,0.000586292
210,0.000006612,0.000657184
210,0.000006565,0.000651619
210,0.000006657,0.000647510
210,0.000006684,0.000646668
210,0.000006589,0.000646786
210,0.000006557,0.000646625
210,0.000006537,0.000646571
210,0.000006580,0.000650009
210,0.000006623,0.000646902
210,0.000006575,0.000646324
220,0.000006886,0.000720885
220,0.000006873,0.000736696
220,0.000007078,0.000712044
220,0.000007095,0.000715198
220,0.000006905,0.000709659
220,0.000006867,0.000709221
220,0.000006836,0.000735069
220,0.000007295,0.000709861
220,0.000006914,0.000709854
220,0.000006844,0.000715164
230,0.000007321,0.000789418
230,0.000007207,0.000776451
230,0.000007270,0.000777168
230,0.000007228,0.000776668
230,0.000007098,0.000779428
230,0.000007187,0.000776062
230,0.000007148,0.000775977
230,0.000007140,0.000775629
230,0.000007084,0.000776445
230,0.000007120,0.000779801
240,0.000007518,0.000857328
240,0.000007419,0.000845274
240,0.000007424,0.000846469
240,0.000007524,0.000845471
240,0.000007349,0.000848394
240,0.000007445,0.000845305
240,0.000007599,0.000845000
240,0.000007369,0.000845188
240,0.000007347,0.000849144
240,0.000007445,0.000844785
250,0.000007741,0.000928896
250,0.000007699,0.000917737
250,0.000007676,0.000916841
250,0.000007770,0.000919654
250,0.000007690,0.000916342
250,0.000007738,0.000916573
250,0.000007678,0.000916765
250,0.000007699,0.000919653
250,0.000007691,0.000916132
250,0.000007713,0.000917445
260,0.000008007,0.001003403
260,0.000008010,0.000994563
260,0.000008024,0.000990976
260,0.000008052,0.000990861
260,0.000007955,0.000990793
260,0.000007958,0.000994107
260,0.000008008,0.000990866
260,0.000008009,0.000990743
260,0.000007982,0.000990818
260,0.000007970,0.000994110
270,0.000008351,0.001292100
270,0.000008934,0.001082610
270,0.000008565,0.001069214
270,0.000008251,0.001072997
270,0.000008342,0.001070271
270,0.000008386,0.001068384
270,0.000008209,0.001072436
270,0.000008275,0.001068604
270,0.000008208,0.001068240
270,0.000008228,0.001069361
280,0.000008615,0.001166580
280,0.000008578,0.001149030
280,0.000008548,0.001148729
280,0.000008567,0.001151834
280,0.000008610,0.001149034
280,0.000008562,0.001147903
280,0.000008503,0.001148853
280,0.000008499,0.001152827
280,0.000008576,0.001148527
280,0.000008556,0.001148658
290,0.000008934,0.001250157
290,0.000008838,0.001232605
290,0.000008871,0.001234359
290,0.000008959,0.001231785
290,0.000012080,0.001244298
290,0.000008996,0.001275478
290,0.000009160,0.001440735
290,0.000023905,0.001232218
290,0.000009138,0.001232497
290,0.000008977,0.001234986
300,0.000009421,0.001352376
