size,naive_time,better_time,blas_time
25,0.000237996,0.000231525,0.000041348
25,0.000269561,0.000229555,0.000039292
25,0.000235060,0.000229260,0.000046194
25,0.000235360,0.000229829,0.000043048
25,0.000234973,0.000238429,0.000039076
25,0.000235651,0.000229592,0.000039107
25,0.000241124,0.000229482,0.000039186
25,0.000235472,0.000235793,0.000039122
25,0.000234917,0.000229463,0.000039130
25,0.000241363,0.000229678,0.000039195
50,0.002033715,0.002021983,0.000359664
50,0.001989596,0.001874046,0.000294120
50,0.002062000,0.001835777,0.000368213
50,0.002066218,0.001900936,0.000295464
50,0.001894501,0.001857292,0.000293705
50,0.001976682,0.001352927,0.000207038
50,0.001303916,0.001287786,0.000203196
50,0.000998427,0.000967082,0.000155162
50,0.001008511,0.000967338,0.000154936
50,0.000844772,0.000779399,0.000125485
75,0.002861723,0.002377642,0.000398643
75,0.002331587,0.001990150,0.000341747
75,0.002170581,0.001766632,0.000302709
75,0.001786010,0.001747931,0.000322465
75,0.001955954,0.001717065,0.000284513
75,0.001762479,0.001727567,0.000282940
75,0.001749479,0.001737524,0.000283064
75,0.001682684,0.001647034,0.000280116
75,0.001682603,0.001642928,0.000284936
75,0.001681878,0.001682854,0.000283359
100,0.004022202,0.003885719,0.000641847
100,0.004718401,0.004008439,0.000723696
100,0.004147680,0.004092383,0.000761266
100,0.004270671,0.004148964,0.000642879
100,0.004225044,0.004013047,0.000679464
100,0.004044593,0.003979815,0.000641369
100,0.003977728,0.004203145,0.000678796
100,0.004659219,0.003935212,0.000642013
100,0.003976584,0.003867450,0.000641144
100,0.004402918,0.004025591,0.000766220
125,0.008107381,0.008406011,0.001348097
125,0.008101728,0.007946156,0.001293154
125,0.007909291,0.007954558,0.001266512
125,0.007967914,0.007711665,0.001226467
125,0.009351691,0.008355394,0.001286917
125,0.008021532,0.007480110,0.001224517
125,0.007811086,0.007479457,0.001225161
125,0.007786315,0.007480611,0.001224275
125,0.007758268,0.007752846,0.001223572
125,0.007761023,0.007688256,0.001461633
150,0.015108057,0.013740964,0.002279402
150,0.013596203,0.012961802,0.002142406
150,0.013393826,0.013394231,0.002190442
150,0.013390443,0.012908958,0.002131063
150,0.013644746,0.012949437,0.002124230
150,0.013450980,0.013130031,0.002124130
150,0.013849274,0.012909448,0.002126307
150,0.013365394,0.013105412,0.002130958
150,0.014117033,0.012893410,0.002167513
150,0.013488896,0.013514134,0.002185752
175,0.023054353,0.021723979,0.003373066
175,0.021912548,0.020775311,0.003444032
175,0.022047670,0.020433911,0.003319084
175,0.021911772,0.020515936,0.003323336
175,0.022282869,0.020470698,0.003313078
175,0.021803257,0.020419990,0.003311074
175,0.021998224,0.020421653,0.003326522
175,0.022051632,0.020635197,0.003485278
175,0.021969843,0.021172925,0.003321649
175,0.021941822,0.020453844,0.003446758
200,0.037963655,0.031679079,0.005384359
200,0.036855838,0.031663446,0.005110844
200,0.038815231,0.031518966,0.005231152
200,0.036486318,0.030896862,0.005174463
200,0.035934855,0.030789912,0.004972841
200,0.036020125,0.030535523,0.004969939
200,0.036624368,0.030487465,0.004966789
200,0.037456457,0.030935225,0.004980747
200,0.035777544,0.030495727,0.005581129
200,0.036292161,0.030777775,0.006148294
225,0.060330438,0.048395988,0.008314388
225,0.064090914,0.044223403,0.007169091
225,0.053105463,0.043606698,0.007420640
225,0.053757974,0.043559354,0.008995131
225,0.079974324,0.051454184,0.007571905
225,0.055385090,0.045121202,0.007713549
225,0.055043801,0.044546474,0.008152583
225,0.054860578,0.043698322,0.007190703
225,0.054032946,0.043548412,0.007020089
225,0.053310697,0.045009537,0.007561650
250,0.076102749,0.059743988,0.010575536
250,0.073278328,0.060606837,0.009651193
250,0.073614291,0.059480244,0.009627917
250,0.073753172,0.059880133,0.009703571
250,0.074138498,0.060623520,0.009914312
250,0.073716287,0.060076654,0.009969756
250,0.073164793,0.060903319,0.009968964
250,0.073839415,0.059561063,0.009649440
250,0.075840820,0.060641329,0.009868009
250,0.073386886,0.059740226,0.009661680
275,0.100147345,0.079831240,0.012865267
275,0.097024349,0.080926343,0.012903807
275,0.097097544,0.080051087,0.012838662
275,0.096826632,0.080303676,0.013864461
275,0.098616906,0.080748649,0.012991044
275,0.097701227,0.080617624,0.012949535
275,0.098013944,0.079584114,0.013009025
275,0.096748967,0.094622014,0.013133767
275,0.104537772,0.084754932,0.013344431
275,0.103650653,0.080782380,0.013077807
300,0.134507710,0.109427714,0.017253177
300,0.130569362,0.105392678,0.016914177
300,0.137893741,0.105945134,0.016943132
300,0.129182899,0.105062927,0.017018418
300,0.128935238,0.103353336,0.016990095
300,0.129197070,0.103533599,0.017225191
300,0.128450850,0.103276613,0.016687767
300,0.129937262,0.105485773,0.017616510
300,0.131818644,0.106078395,0.016799992
300,0.129235753,0.104810902,0.018381220
325,0.173214933,0.132300745,0.021265362
325,0.167179140,0.132221007,0.021121626
325,0.166955531,0.131088504,0.021439152
325,0.167943487,0.135160137,0.021227934
325,0.167480711,0.131238896,0.021126541
325,0.169497218,0.133594562,0.021649386
325,0.167885594,0.131506143,0.021269556
325,0.166371337,0.131551363,0.021378605
325,0.167515094,0.131165296,0.021083816
325,0.166394044,0.131246426,0.021682375
350,0.220174074,0.162805486,0.026425033
350,0.218391549,0.163977727,0.026427860
350,0.212672236,0.163633863,0.027793315
350,0.212462645,0.165312097,0.026642297
350,0.215914404,0.164884489,0.026922194
350,0.213996118,0.165411274,0.027130040
350,0.215079578,0.163580141,0.027959823
350,0.218906835,0.163245762,0.026642566
350,0.212303518,0.164462802,0.026457937
350,0.217893289,0.169554024,0.030238109
375,0.265093569,0.213762678,0.044171773
375,0.280681721,0.207637778,0.032949606
375,0.248579860,0.203302824,0.034677246
375,0.245627642,0.204814141,0.041295372
375,0.245659254,0.205360575,0.032794445
375,0.247124324,0.203382334,0.033400481
375,0.247742811,0.227308960,0.042515550
375,0.279430391,0.206139386,0.032984262
375,0.247843965,0.202615479,0.032272311
375,0.245696197,0.203223728,0.033211045
